text,label
I demand a refund — the invoice was urgent and unusable.,negative
"The agenda for the release covers scope, timeline, and budget.",neutral
Great job on the project — the results were outstanding and exceeded expectations.,positive
Please find attached the notes for the meeting.,neutral
"Fantastic news about the update, everything went outstanding.",positive
Escalating this: the update is delayed and downtime is increasing.,negative
"Thank you so much, our vendor was absolutely superb.",positive
"Fantastic news about support, everything went smooth.",positive
We have a urgent problem with the invoice and need it resolved asap.,negative
Really appreciate the great effort on your service.,positive
your service is completely urgent; our clients are complaining.,negative
We reviewed the project and there are no changes to report.,neutral
"Thank you so much, the update was absolutely outstanding.",positive
the release was smooth; the client was thrilled with the outcome.,positive
"Thank you so much, the meeting was absolutely outstanding.",positive
Really appreciate the outstanding effort on support.,positive
The critical issue with the team has not been addressed despite reminders.,negative
"Congratulations to everyone, our vendor looked flawless today.",positive
the project is completely awful; our clients are complaining.,negative
"I love how the report turned out, it was wonderful.",positive
Reminder: the project takes place next week as planned.,neutral
Reminder: the product takes place next week as planned.,neutral
"Congratulations to everyone, the meeting looked superb today.",positive
your service is completely unacceptable; our clients are complaining.,negative
Can you confirm the details for the client before Friday?,neutral
Really appreciate the smooth effort on the project.,positive
the meeting is completely terrible; our clients are complaining.,negative
"Thank you so much, the meeting was absolutely smooth.",positive
"Fantastic news about the client, everything went wonderful.",positive
Reminder: the meeting takes place next week as planned.,neutral
Reminder: our vendor takes place next week as planned.,neutral
We have a broken problem with our vendor and need it resolved asap.,negative
Escalating this: your service is critical and downtime is increasing.,negative
"We are very happy with the report, truly outstanding work.",positive
the product is completely disappointing; our clients are complaining.,negative
This is faulty. the project failed again and must be fixed immediately.,negative
I demand a refund — the release was critical and unusable.,negative
"Congratulations to everyone, the report looked excellent today.",positive
"We are very happy with the update, truly delightful work.",positive
the meeting was superb; the client was thrilled with the outcome.,positive
the update is completely critical; our clients are complaining.,negative
Great job on the release — the results were impressive and exceeded expectations.,positive
support was delightful; the client was thrilled with the outcome.,positive
Can you confirm the details for the demo before Friday?,neutral
Great job on the delivery — the results were superb and exceeded expectations.,positive
the delivery was excellent; the client was thrilled with the outcome.,positive
"I love how the product turned out, it was impressive.",positive
"The agenda for our vendor covers scope, timeline, and budget.",neutral
This is unacceptable. your service failed again and must be fixed immediately.,negative
"I love how our vendor turned out, it was excellent.",positive
We have a faulty problem with the invoice and need it resolved asap.,negative
Great job on the project — the results were fantastic and exceeded expectations.,positive
"We are very happy with our vendor, truly excellent work.",positive
"I am extremely disappointed with the project, it was faulty.",negative
"I love how our vendor turned out, it was smooth.",positive
Reminder: your service takes place next week as planned.,neutral
Escalating this: our vendor is terrible and downtime is increasing.,negative
Escalating this: support is urgent and downtime is increasing.,negative
"Thank you so much, the team was absolutely wonderful.",positive
"I am extremely disappointed with the release, it was urgent.",negative
This is terrible. the invoice failed again and must be fixed immediately.,negative
The urgent issue with your service has not been addressed despite reminders.,negative
"Fantastic news about the team, everything went fantastic.",positive
Forwarding the documentation related to the report for your reference.,neutral
"I love how the meeting turned out, it was impressive.",positive
"I am extremely disappointed with the meeting, it was urgent.",negative
Great job on support — the results were wonderful and exceeded expectations.,positive
"We are very happy with your service, truly impressive work.",positive
"Fantastic news about the update, everything went superb.",positive
The awful issue with the meeting has not been addressed despite reminders.,negative
"The agenda for the update covers scope, timeline, and budget.",neutral
the project was smooth; the client was thrilled with the outcome.,positive
the demo is scheduled for Thursday at 10:00 AM.,neutral
We reviewed the report and there are no changes to report.,neutral
We have a disappointing problem with your service and need it resolved asap.,negative
"Thank you so much, the report was absolutely impressive.",positive
This is unacceptable. the product failed again and must be fixed immediately.,negative
Great job on the delivery — the results were excellent and exceeded expectations.,positive
This is unacceptable. the delivery failed again and must be fixed immediately.,negative
Here is the weekly status update on the product.,neutral
We have a unacceptable problem with the delivery and need it resolved asap.,negative
Urgent: the delivery is unacceptable and we risk losing the contract.,negative
"Fantastic news about the client, everything went flawless.",positive
"I am extremely disappointed with the meeting, it was unacceptable.",negative
Urgent: the team is delayed and we risk losing the contract.,negative
Can you confirm the details for the meeting before Friday?,neutral
the release is completely broken; our clients are complaining.,negative
Urgent: the team is critical and we risk losing the contract.,negative
We have a unacceptable problem with the demo and need it resolved asap.,negative
Great job on the invoice — the results were excellent and exceeded expectations.,positive
"Fantastic news about the product, everything went great.",positive
the delivery is completely urgent; our clients are complaining.,negative
"We are very happy with the demo, truly outstanding work.",positive
"We are very happy with the demo, truly smooth work.",positive
"I love how the invoice turned out, it was fantastic.",positive
Urgent: the invoice is unacceptable and we risk losing the contract.,negative
Escalating this: the report is urgent and downtime is increasing.,negative
Really appreciate the delightful effort on the invoice.,positive
"We are very happy with the client, truly delightful work.",positive
Great job on the team — the results were superb and exceeded expectations.,positive
Really appreciate the delightful effort on the update.,positive
Here is the weekly status update on the client.,neutral
Reminder: the update takes place next week as planned.,neutral
This is critical. support failed again and must be fixed immediately.,negative
Urgent: the team is unacceptable and we risk losing the contract.,negative
This is broken. the demo failed again and must be fixed immediately.,negative
Reminder: the release takes place next week as planned.,neutral
We have a unacceptable problem with the update and need it resolved asap.,negative
Urgent: the update is delayed and we risk losing the contract.,negative
Escalating this: the team is broken and downtime is increasing.,negative
"Thank you so much, the update was absolutely smooth.",positive
This is urgent. the invoice failed again and must be fixed immediately.,negative
Here is the weekly status update on the demo.,neutral
"We are very happy with the client, truly impressive work.",positive
the meeting was outstanding; the client was thrilled with the outcome.,positive
"Fantastic news about the report, everything went fantastic.",positive
Please find attached the notes for the report.,neutral
"Thank you so much, the delivery was absolutely smooth.",positive
your service is scheduled for Thursday at 10:00 AM.,neutral
"Fantastic news about the client, everything went delightful.",positive
your service is completely critical; our clients are complaining.,negative
We have a awful problem with our vendor and need it resolved asap.,negative
I demand a refund — the release was urgent and unusable.,negative
"We are very happy with your service, truly outstanding work.",positive
I demand a refund — the team was frustrating and unusable.,negative
We have a frustrating problem with the release and need it resolved asap.,negative
Reminder: the invoice takes place next week as planned.,neutral
"I am extremely disappointed with the update, it was frustrating.",negative
the report was superb; the client was thrilled with the outcome.,positive
We have a awful problem with the release and need it resolved asap.,negative
Urgent: the demo is delayed and we risk losing the contract.,negative
"We are very happy with support, truly excellent work.",positive
Forwarding the documentation related to the team for your reference.,neutral
"I am extremely disappointed with your service, it was terrible.",negative
Can you confirm the details for support before Friday?,neutral
We reviewed the delivery and there are no changes to report.,neutral
"The agenda for the client covers scope, timeline, and budget.",neutral
the product is completely unacceptable; our clients are complaining.,negative
Escalating this: the team is delayed and downtime is increasing.,negative
"We are very happy with the product, truly smooth work.",positive
We reviewed the team and there are no changes to report.,neutral
"Fantastic news about our vendor, everything went smooth.",positive
The urgent issue with the update has not been addressed despite reminders.,negative
the demo was excellent; the client was thrilled with the outcome.,positive
"Congratulations to everyone, the team looked excellent today.",positive
"I am extremely disappointed with our vendor, it was faulty.",negative
"Thank you so much, the update was absolutely superb.",positive
"We are very happy with the invoice, truly great work.",positive
We have a urgent problem with our vendor and need it resolved asap.,negative
"The agenda for the report covers scope, timeline, and budget.",neutral
