text,label
I love this product amazing,positive
This is wonderful great experience,positive
Excellent service highly recommend,positive
Very happy with my purchase,positive
Best decision I made,positive
Fantastic quality love it,positive
Outstanding performance,positive
Superb job well done,positive
Thumbs up great work,positive
Impressive very satisfied,positive
Terrible experience worst ever,negative
Horrible service disappointed,negative
Very bad poor quality,negative
Worst purchase regret it,negative
Awful terrible mistake,negative
Disappointing not worth it,negative
Very unhappy dissatisfied,negative
Poor results waste of money,negative
Unsatisfied angry frustrated,negative
Bad unreliable terrible,negative
This is okay decent enough,neutral
Average not bad not good,neutral
It works as expected,neutral
Neither good nor bad,neutral
Standard normal typical,neutral
Acceptable satisfactory,neutral
Mediocre nothing special,neutral
Fair decent for price,neutral
Okay usable fine,neutral
Meh not impressive,neutral
Really great awesome,positive
Love it perfect,positive
Amazing wonderful,positive
Thank you appreciate,positive
Great help thanks,positive
Happy satisfied,positive
Wonderful fantastic,positive
Excellent good job,positive
Brilliant outstanding,positive
Marvelous incredible,positive
Very bad awful,negative
Hate dislike,negative
Poor terrible,negative
Not recommended,negative
Waste time,negative
Frustrating annoying,negative
Upset disappointed,negative
Angry furious,negative
Disgusting revolting,negative
Pathetic worthless,negative
